,name,release_year,length,movie_rate,rating
215,216. Rocky,1976,2h,PG,8.1 (624K)
216,217. Logan,2017,2h 17m,R,8.1 (824K)
217,218. Spotlight,2015,2h 9m,R,8.1 (499K)
218,219. Hotel Rwanda,2004,2h 1m,PG-13,8.1 (371K)
219,220. Platoon,1986,2h,R,8.1 (437K)
220,221. The Terminator,1984,1h 47m,R,8.1 (918K)
221,222. The Passion of Joan of Arc,1928,1h 54m,Passed,8.1 (60K)
222,223. Before Sunset,2004,1h 20m,R,8.1 (286K)
223,224. The Best Years of Our Lives,1946,2h 50m,Approved,8.1 (70K)
224,225. La haine,1995,1h 38m,Not Rated,8.1 (194K)
225,226. Jai Bhim,2021,2h 44m,TV-MA,8.7 (216K)
226,227. The Exorcist,1973,2h 2m,R,8.1 (452K)
227,228. Rush,2013,2h 3m,R,8.1 (510K)
228,229. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1 (1.2M)
229,230. Network,1976,2h 1m,R,8.1 (169K)
230,231. Stand by Me,1986,1h 29m,R,8.1 (438K)
231,232. The Wizard of Oz,1939,1h 42m,G,8.1 (426K)
232,233. The Incredibles,2004,1h 55m,PG,8.0 (802K)
233,234. Hachi: A Dog's Tale,2009,1h 33m,G,8.1 (309K)
234,235. Into the Wild,2007,2h 28m,R,8.1 (655K)
235,236. The Handmaiden,2016,2h 25m,Not Rated,8.1 (170K)
236,237. My Father and My Son,2005,1h 52m,Not Rated,8.2 (92K)
237,238. To Be or Not to Be,1942,1h 39m,Passed,8.1 (42K)
238,239. The Sound of Music,1965,2h 52m,G,8.1 (259K)
239,240. The Grapes of Wrath,1940,2h 9m,Passed,8.1 (99K)
240,241. Groundhog Day,1993,1h 41m,PG,8.0 (681K)
241,242. The Battle of Algiers,1966,2h 1m,Not Rated,8.1 (65K)
242,243. Amores Perros,2000,2h 34m,R,8.1 (252K)
243,244. Rebecca,1940,2h 10m,Approved,8.1 (146K)
244,245. Cool Hand Luke,1967,2h 7m,GP,8.1 (188K)
245,246. The Iron Giant,1999,1h 26m,PG,8.1 (225K)
246,247. The Help,2011,2h 26m,PG-13,8.1 (490K)
247,248. It Happened One Night,1934,1h 45m,Passed,8.1 (112K)
248,249. The 400 Blows,1959,1h 39m,Not Rated,8.1 (127K)
249,250. Dances with Wolves,1990,3h 1m,PG-13,8.0 (288K)
